a ,b,c
RandomForestClassifier,0.745,"['pH', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.74,"['pH', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.74,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.73,"['pH', 'citric acid', 'chlorides']"
RandomForestClassifier,0.73,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.73,"['pH', 'sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.73,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.73,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.725,"['pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.725,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.72,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'chlorides']"
RandomForestClassifier,0.72,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.72,"['free sulfur dioxide', 'pH', 'residual sugar', 'density', 'chlorides']"
LogisticRegression,0.72,"['pH', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.72,"['pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.72,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.72,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.72,"['pH', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.72,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.72,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.72,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.715,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'chlorides']"
RandomForestClassifier,0.715,"['free sulfur dioxide', 'alcohol', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.715,"['pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.715,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.715,"['pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.715,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
RandomForestClassifier,0.715,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'density', 'chlorides']"
RandomForestClassifier,0.715,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.71,"['free sulfur dioxide', 'pH', 'citric acid', 'chlorides']"
LogisticRegression,0.71,"['pH', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.71,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.71,"['free sulfur dioxide', 'pH', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.71,"['free sulfur dioxide', 'alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.71,"['pH', 'sulphates', 'alcohol', 'residual sugar', 'chlorides']"
LogisticRegression,0.71,"['pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.71,"['pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.71,"['free sulfur dioxide', 'pH', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.71,"['free sulfur dioxide', 'pH', 'sulphates', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.71,"['free sulfur dioxide', 'pH', 'residual sugar', 'citric acid', 'density', 'chlorides']"
