a,b,c
SVC gamma,0.52,"['volatile acidity', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.52,"['citric acid', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.52,"['free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.52,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.52,"['volatile acidity', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.52,"['citric acid', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.52,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.518,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.518,"['volatile acidity', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.518,"['citric acid', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.518,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.516,"['residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.512,"['free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.512,"['volatile acidity', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.512,"['citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.512,"['free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.512,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.512,"['volatile acidity', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.512,"['citric acid', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.512,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.508,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.508,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.506,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.506,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.504,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.504,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'density', 'alcohol']"
RandomForestClassifier,0.504,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.504,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.502,"['residual sugar', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.502,"['volatile acidity', 'residual sugar', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.5,"['residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.5,"['residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.5,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.5,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.498,"['volatile acidity', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.498,"['citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.498,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.498,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.498,"['volatile acidity', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.498,"['citric acid', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.498,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.498,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.498,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.498,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
