LogisticRegression,0.53,['fixed acidity']
SVC gamma,0.53,['fixed acidity']
RandomForestClassifier,0.5,['fixed acidity']
LogisticRegression,0.53,['volatile acidity']
SVC gamma,0.53,['volatile acidity']
RandomForestClassifier,0.53,['volatile acidity']
LogisticRegression,0.53,['citric acid']
SVC gamma,0.53,['citric acid']
RandomForestClassifier,0.53,['citric acid']
LogisticRegression,0.53,['residual sugar']
SVC gamma,0.48,['residual sugar']
RandomForestClassifier,0.43,['residual sugar']
LogisticRegression,0.53,['chlorides']
SVC gamma,0.53,['chlorides']
RandomForestClassifier,0.53,['chlorides']
LogisticRegression,0.53,['free sulfur dioxide']
SVC gamma,0.39,['free sulfur dioxide']
RandomForestClassifier,0.42,['free sulfur dioxide']
LogisticRegression,0.52,['total sulfur dioxide']
SVC gamma,0.54,['total sulfur dioxide']
RandomForestClassifier,0.42,['total sulfur dioxide']
LogisticRegression,0.51,['density']
SVC gamma,0.51,['density']
RandomForestClassifier,0.51,['density']
LogisticRegression,0.53,['pH']
SVC gamma,0.53,['pH']
RandomForestClassifier,0.53,['pH']
LogisticRegression,0.53,['sulphates']
SVC gamma,0.53,['sulphates']
RandomForestClassifier,0.53,['sulphates']
LogisticRegression,0.53,['alcohol']
SVC gamma,0.6,['alcohol']
RandomForestClassifier,0.57,['alcohol']
LogisticRegression,0.53,"['fixed acidity', 'volatile acidity']"
SVC gamma,0.53,"['fixed acidity', 'volatile acidity']"
RandomForestClassifier,0.53,"['fixed acidity', 'volatile acidity']"
LogisticRegression,0.53,"['fixed acidity', 'citric acid']"
SVC gamma,0.53,"['fixed acidity', 'citric acid']"
RandomForestClassifier,0.53,"['fixed acidity', 'citric acid']"
LogisticRegression,0.53,"['fixed acidity', 'residual sugar']"
SVC gamma,0.5,"['fixed acidity', 'residual sugar']"
RandomForestClassifier,0.44,"['fixed acidity', 'residual sugar']"
LogisticRegression,0.53,"['fixed acidity', 'chlorides']"
SVC gamma,0.53,"['fixed acidity', 'chlorides']"
RandomForestClassifier,0.53,"['fixed acidity', 'chlorides']"
LogisticRegression,0.53,"['fixed acidity', 'free sulfur dioxide']"
SVC gamma,0.46,"['fixed acidity', 'free sulfur dioxide']"
RandomForestClassifier,0.41,"['fixed acidity', 'free sulfur dioxide']"
LogisticRegression,0.52,"['fixed acidity', 'total sulfur dioxide']"
SVC gamma,0.6,"['fixed acidity', 'total sulfur dioxide']"
RandomForestClassifier,0.42,"['fixed acidity', 'total sulfur dioxide']"
LogisticRegression,0.51,"['fixed acidity', 'density']"
SVC gamma,0.53,"['fixed acidity', 'density']"
RandomForestClassifier,0.51,"['fixed acidity', 'density']"
LogisticRegression,0.53,"['fixed acidity', 'pH']"
SVC gamma,0.52,"['fixed acidity', 'pH']"
RandomForestClassifier,0.52,"['fixed acidity', 'pH']"
LogisticRegression,0.53,"['fixed acidity', 'sulphates']"
SVC gamma,0.53,"['fixed acidity', 'sulphates']"
RandomForestClassifier,0.5,"['fixed acidity', 'sulphates']"
LogisticRegression,0.59,"['fixed acidity', 'alcohol']"
SVC gamma,0.56,"['fixed acidity', 'alcohol']"
RandomForestClassifier,0.58,"['fixed acidity', 'alcohol']"
LogisticRegression,0.53,"['volatile acidity', 'citric acid']"
SVC gamma,0.53,"['volatile acidity', 'citric acid']"
